,0
1320,stitching
1321,stomping
1322,stopping
1323,storing
1324,straightening
1325,strangling
1326,strapping
1327,strategizing
1328,streamlining
1329,strengthening
1330,stretching
1331,striding
1332,striking
1333,stringing
1334,stripping
1335,striving
1336,stroking
1337,striking
1338,structuring
1339,stubbing
1340,studying
1341,stuffing
1342,stumbling
1343,stunning
1344,subduing
1345,subletting
1346,submerging
1347,submitting
1348,substantiating
1349,substituting
1350,subtracting
1351,succeeding
1352,sucking
1353,suffering
1354,suggesting
1355,suiting
1356,summarizing
1357,summonning
1358,supervising
1359,supplying
1360,supporting
1361,supposing
1362,surpassing
1363,surprising
1364,surrendering
1365,surrounding
1366,surveying
1367,suspecting
1368,suspending
1369,sustaining
1370,swaggering
1371,swallowing
1372,swapping
1373,swaying
1374,swearing
1375,sweating
1376,sweeping
1377,swelling
1378,swerving
1379,swimming
1380,swinging
1381,swiping
1382,switching
1383,symbolizing
1384,synthesizing
1385,systematizing
1386,systemizing
1387,tabulating
1388,tackling
1389,tailing
1390,taking
1391,talking
1392,taming
1393,tapping
1394,targeting
1395,tasting
1396,teaching
1397,taunting
1398,teaching
1399,tearing
1400,teasing
1401,telephoning
1402,telling
1403,tempting
1404,tending
1405,terminating
1406,terrifying
1407,terrorizing
1408,testing
1409,thanking
1410,thawing
1411,theorizing
1412,thinking
1413,thrashing
1414,threading
1415,threatening
1416,thriving
1417,throwing
1418,thrusting
1419,ticking
1420,tickling
1421,tying
1422,tilting
1423,timing
1424,tipping
1425,tiring
1426,tossing
1427,touching
1428,touring
1429,touting
1430,towing
1431,tracing
1432,tracking
1433,trading
1434,training
1435,transcribing
1436,transferring
1437,transforming
1438,translating
1439,transmitting
1440,transporting
1441,transposing
1442,trapping
1443,travelling
1444,treading
1445,treating
1446,trembling
1447,tricking
1448,tripping
1449,tripling
1450,trotting
1451,troubling
1452,troubleshooting
1453,troubleshotting
1454,trouncing
1455,trusting
1456,trying
1457,tucking
1458,tugging
1459,tumbling
1460,turning
1461,tutoring
1462,twisting
1463,typing
1464,uncovering
1465,undergoing
1466,understanding
1467,undertaking
1468,undertaking
1469,undoing
1470,undressing
1471,unfastening
1472,unfolding
1473,unifying
1474,uniting
1475,unlocking
1476,unpacking
1477,untangling
1478,untidying
1479,unveiling
1480,unwinding
1481,updating
1482,upgrading
1483,upholding
1484,upholding
1485,upsetting
1486,using
1487,ushering
1488,utilizing
1489,vacating
1490,validating
1491,valuing
1492,vanishing
1493,vanquishing
1494,vaulting
1495,venting
1496,verbalizing
1497,verifying
1498,vexing
1499,viewing
1500,violating
1501,visiting
1502,visualizing
1503,vitalizing
1504,volunteering
1505,wading
1506,wailing
1507,waiting
1508,waking
1509,walking
1510,wandering
1511,wanting
1512,warding
1513,warming
1514,warning
1515,washing
1516,wasting
1517,watching
1518,watering
1519,waving
1520,wearing
1521,weaving
1522,wedding
1523,wedging
1524,weeding
1525,weeping
1526,weighing
1527,welcoming
1528,wending
1529,wetting
1530,whacking
1531,whining
1532,whipping
1533,whirling
1534,whispering
1535,whistling
1536,widening
1537,wielding
1538,wiggling
1539,winning
1540,winding
1541,winking
1542,wiping
1543,wishing
1544,withdrawing
1545,withholding
1546,withstanding
1547,witnessing
1548,wobbling
1549,wondering
1550,working
1551,worrying
1552,wrapping
1553,wrecking
1554,wrenching
1555,wrestling
1556,wriggling
1557,wringing
1558,writing
1559,x-raying
1560,xeroxing
1561,yanking
1562,yawning
1563,yelling
1564,yelping
1565,yielding
1566,zapping
1567,zipping
1568,zooming
1569,abducted
1570,abode
1571,abolished
1572,absconded
1573,abused
1574,accelerated
1575,accepted
1576,accommodated
1577,accomplished
1578,accumulated
1579,accused
1580,achieved
1581,acquired
1582,acted
1583,activated
1584,adapted
1585,added
1586,addrest
1587,adjusted
1588,administered
1589,admired
1590,admitted
1591,adopted
1592,advanced
1593,advertised
1594,advised
1595,advocated
1596,afforded
1597,agreed
1598,aided
1599,aided
1600,aimed
1601,alerted
1602,alighted
1603,aligned
1604,allocated
1605,allowed
1606,altered
1607,amended
1608,amused
1609,analyzed
1610,announced
1611,annoyed
1612,answered
